"","k_val","calibration_r2","minimum","maximum","N","rep_n","c_r2_bd","min_bd","max_bd","c_r2_log","min_log","max_log"
"43",4.3,0.459423581605548,0.41357537956244,0.692846665578151,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"44",4.4,0.453437637477693,0.415944625373182,0.693337852106877,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"45",4.5,0.439069949541112,0.422768206490311,0.684742397638068,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"46",4.6,0.434940272122761,0.423637013578704,0.68072004747046,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"47",4.7,0.435713426075471,0.427522473150187,0.678033777684979,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"48",4.8,0.426303835424605,0.427565346848184,0.6763027872008,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"49",4.9,0.421415370433957,0.430427019286912,0.671941522856967,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"50",5,0.407997316887842,0.433875269257674,0.666349499246229,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"51",5.1,0.404748902641084,0.434455220922717,0.665555570873365,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"52",5.2,0.398231116607685,0.438298004146885,0.663803122596644,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"53",5.3,0.394341130613943,0.441520774873088,0.658706505154352,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"54",5.4,0.381755534154605,0.441760340775162,0.655043251788712,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"55",5.5,0.372878214771647,0.445645234179195,0.65322758067691,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"56",5.6,0.37212998163103,0.446772895412888,0.649303843861988,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"57",5.7,0.364195733741496,0.449595031136099,0.645201037010915,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"58",5.8,0.354962404563538,0.451606904830614,0.640877913365064,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"59",5.9,0.344534073369141,0.453575813456402,0.639558733504764,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
"60",6,0.342742794431628,0.457561256790954,0.634301885795398,100,1,-0.0423210631920699,0.501722321350491,0.505272047583483,0.677950907924077,0.221915895895368,0.882273693621584
