"","k_val","calibration_r2","minimum","maximum","N","rep_n","c_r2_bd","min_bd","max_bd","c_r2_log","min_log","max_log","c_r2_log_int","min_log_int","max_log_int","default_diff","log_diff","log_int_diff","default_log_diff","default_log_int_diff"
"297",9.7,0.119662095982488,0.425538728308992,0.51475449739267,100,3,0.0554942714619356,0.473066701064313,0.510028247394358,-0.0364862784251136,0.0228249337222852,0.990198217020611,-0.0102940782805141,0.0133651875849606,0.996580655826047,0.0641678245205526,0.156148374407602,0.129956174263002,0.0919805498870493,0.0657883497424497
"298",9.8,0.114489746270879,0.423327453520552,0.512756829475811,100,3,0.0554942714619356,0.473066701064313,0.510028247394358,-0.0364862784251136,0.0228249337222852,0.990198217020611,-0.0102940782805141,0.0133651875849606,0.996580655826047,0.0589954748089432,0.150976024695992,0.124783824551393,0.0919805498870493,0.0657883497424497
"299",9.9,0.113717664496419,0.424546896325937,0.513546883731985,100,3,0.0554942714619356,0.473066701064313,0.510028247394358,-0.0364862784251136,0.0228249337222852,0.990198217020611,-0.0102940782805141,0.0133651875849606,0.996580655826047,0.0582233930344831,0.150203942921532,0.124011742776933,0.0919805498870493,0.0657883497424497
"300",10,0.112243217694735,0.425962246190857,0.512620946771274,100,3,0.0554942714619356,0.473066701064313,0.510028247394358,-0.0364862784251136,0.0228249337222852,0.990198217020611,-0.0102940782805141,0.0133651875849606,0.996580655826047,0.0567489462327996,0.148729496119849,0.122537295975249,0.0919805498870493,0.0657883497424497
"301",0.1,-5.62019842582281,0.00263733423488541,0.996808502828205,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-5.70222755932857,-5.49662053156949,-5.7948694274372,0.205607027759081,-0.0926418681086307
"302",0.2,-4.91123763304885,0.00739345465277052,0.987455922080028,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-4.99326676655461,-4.78765973879552,-5.08590863466324,0.205607027759081,-0.0926418681086307
"303",0.3,-3.23510317825218,0.0136973267911093,0.960158222261567,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-3.31713231175794,-3.11152528399886,-3.40977417986657,0.205607027759081,-0.0926418681086307
"304",0.4,-2.4039085542425,0.0212133001146336,0.967407935407955,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-2.48593768774826,-2.28033065998918,-2.57857955585689,0.205607027759081,-0.0926418681086307
"305",0.5,-1.89737078333256,0.0241339608308376,0.950959771565463,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-1.97939991683832,-1.77379288907924,-2.07204178494695,0.205607027759081,-0.0926418681086307
"306",0.6,-1.6110947068881,0.0241411430949975,0.941755154792677,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-1.69312384039386,-1.48751681263478,-1.78576570850249,0.205607027759081,-0.0926418681086307
"307",0.7,-1.26570905782324,0.0385274096304076,0.931437390556043,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-1.347738191329,-1.14213116356992,-1.44038005943763,0.205607027759081,-0.0926418681086307
"308",0.8,-1.08647656552885,0.0444058239207231,0.914793318097236,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-1.16850569903461,-0.962898671275529,-1.26114756714324,0.205607027759081,-0.0926418681086307
"309",0.9,-0.951401802267937,0.0508042210130315,0.908862999343322,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-1.0334309357737,-0.827823908014616,-1.12607280388233,0.205607027759081,-0.0926418681086307
"310",1,-0.803746861171188,0.0613033293985013,0.889249738066018,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.885775994676949,-0.680168966917868,-0.97841786278558,0.205607027759081,-0.0926418681086307
"311",1.1,-0.70719738353158,0.062580113862588,0.875411821187626,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.789226517037341,-0.58361948927826,-0.881868385145972,0.205607027759081,-0.0926418681086307
"312",1.2,-0.61037700444597,0.0686649585461071,0.865227853611042,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.692406137951731,-0.48679911019265,-0.785048006060362,0.205607027759081,-0.0926418681086307
"313",1.3,-0.531373630156325,0.0730840443462119,0.858134948096124,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.613402763662086,-0.407795735903004,-0.706044631770717,0.205607027759081,-0.0926418681086307
"314",1.4,-0.459600394863494,0.0797700275936993,0.839633216626529,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.541629528369255,-0.336022500610174,-0.634271396477886,0.205607027759081,-0.0926418681086307
"315",1.5,-0.390029618570731,0.0866487114119769,0.823723648585792,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.472058752076492,-0.266451724317411,-0.564700620185123,0.205607027759081,-0.0926418681086307
"316",1.6,-0.352635409581416,0.0968016529581996,0.818125398305976,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.434664543087178,-0.229057515328096,-0.527306411195808,0.205607027759081,-0.0926418681086307
"317",1.7,-0.305874604510482,0.104102958083425,0.798601064053247,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.387903738016243,-0.182296710257162,-0.480545606124874,0.205607027759081,-0.0926418681086307
"318",1.8,-0.278495532689703,0.101133929977854,0.794990392168718,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.360524666195464,-0.154917638436382,-0.453166534304095,0.205607027759081,-0.0926418681086307
"319",1.9,-0.235845415922446,0.111250151324094,0.780902877824557,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.317874549428207,-0.112267521669125,-0.410516417536838,0.205607027759081,-0.0926418681086307
"320",2,-0.195909977833264,0.116178168144041,0.765177689140982,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.277939111339026,-0.0723320835799441,-0.370580979447656,0.205607027759081,-0.0926418681086307
"321",2.1,-0.181266268971636,0.124908782914454,0.76372625729701,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.263295402477397,-0.0576883747183157,-0.355937270586028,0.205607027759081,-0.0926418681086307
"322",2.2,-0.139906911910236,0.127867932818713,0.755334680607491,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.221936045415997,-0.016329017656916,-0.314577913524628,0.205607027759081,-0.0926418681086307
"323",2.3,-0.133963385591952,0.130024557020732,0.745703672395034,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.215992519097713,-0.0103854913386319,-0.308634387206344,0.205607027759081,-0.0926418681086307
"324",2.4,-0.100905039224385,0.137735669257261,0.737756073105177,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.182934172730146,0.0226728550289352,-0.275576040838777,0.205607027759081,-0.0926418681086307
"325",2.5,-0.083472079164195,0.142013837134242,0.725024552888977,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.165501212669956,0.0401058150891254,-0.258143080778587,0.205607027759081,-0.0926418681086307
"326",2.6,-0.0615671854371234,0.154708884265747,0.723560407541977,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.143596318942884,0.062010708816197,-0.236238187051515,0.205607027759081,-0.0926418681086307
"327",2.7,-0.0547297555377091,0.155296184799203,0.714796836263938,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.13675888904347,0.0688481387156112,-0.229400757152101,0.205607027759081,-0.0926418681086307
"328",2.8,-0.037527818138837,0.156353860738494,0.701989524281281,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.119556951644598,0.0860500761144833,-0.212198819753229,0.205607027759081,-0.0926418681086307
"329",2.9,-0.0221972311977061,0.168225105149007,0.697994711732577,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.104226364703467,0.101380663055614,-0.196868232812098,0.205607027759081,-0.0926418681086307
"330",3,0.00541180936083385,0.174032042361915,0.688103484754345,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0766173241449273,0.128989703614154,-0.169259192253558,0.205607027759081,-0.0926418681086307
"331",3.1,0.000481532770185478,0.176415399645227,0.68272235959353,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0815476007355757,0.124059427023506,-0.174189468844206,0.205607027759081,-0.0926418681086307
